title,description,genre
The Pink Panther 2,"When legendary treasures from around the world are stolen, including the priceless Pink Panther Diamond, Chief Inspector Dreyfus is forced to assign Inspector Clouseau to a team of international detectives and experts charged with catching the thief and retrieving the stolen artifacts.","['Comedy', 'Mystery']"
The Damned United,"Taking over Leeds United, Brian Clough's abrasive approach and his clear dislike of the players' dirty style of play make it certain there is going to be friction. Glimpses of his earlier career help explain both his hostility to previous manager Don Revie and how much he is missing right-hand man Peter Taylor.","['Drama', 'History']"
Paul Blart: Mall Cop,"Mild-mannered Paul Blart has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day.","['Action', 'Adventure', 'Comedy', 'Family']"
Planet 51,"When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.","['Animation', 'Family', 'Comedy', 'Science Fiction', 'Adventure']"
Enter the Void,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar, a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda. When Oscar is killed by police during a bust gone bad, his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future, where he looks out for his sister from beyond the grave.","['Fantasy', 'Drama']"
Futurama: Into the Wild Green Yonder,"Leela becomes an outlaw when she and a group of ecologically-minded feminists attempt to save an asteroid of primitive life forms and the Violet Dwarf star from being destroyed, while Fry joins a secret society and attempts to stop a mysterious species known as the ""Dark Ones"" from destroying all life in the universe.","['Animation', 'Comedy', 'Science Fiction', 'TV Movie']"
Fish Tank,"Mia is a rebellious teenager on the verge of being kicked out of school. Her hard-partying mother, Joanne, neglects Mia's welfare in favor of her own, and her younger sister hangs out with a much older crowd. Sparks fly between Mia and Connor, Joanne's new boyfriend, and he encourages Mia to pursue her interest in dance. As the boundaries of the relationships become blurred, Mia and Joanne compete for Connor's affection.",['Drama']
Happily N'Ever After 2,Fairy tales collide when Mambo and Munk tip the scales of good and evil once again.,"['Animation', 'Comedy', 'Adventure']"
The Marine 2,Rebels seize control of the hotel where a Marine sniper and his wife are staying. Can he save the day?,['Action']
Precious,"Set in Harlem in 1987, Claireece ""Precious"" Jones is a 16-year-old African American girl born into a life no one would want. She's pregnant for the second time by her absent father; at home, she must wait hand and foot on her mother, an angry woman who abuses her emotionally and physically. School is chaotic and Precious has reached the ninth grade with good marks and a secret; She can't read.",['Drama']
The Grudge 3,"Jake Kimble, the sole survivor of the Chicago massacre, is killed while in solitary confinement. His doctor begins investigating the claims he made about a long-haired woman in white, as a mysterious Japanese woman arrives at his old apartment building to help them get rid of the curse.","['Mystery', 'Horror', 'Thriller']"
Whatever Works,"Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""","['Comedy', 'Romance']"
Madea Goes to Jail,"After a high-speed car chase, Madea winds up behind bars because her quick temper gets the best of her. Meanwhile, Assistant District Attorney Josh Hardaway lands a case that's too personal to handle: that of a young prostitute and former drug addict named Candace. When Candace winds up in jail, Madea takes the young woman under her protective wing.","['Comedy', 'Crime', 'Drama']"
Obsessed,"Things couldn't be better for Derek Charles. He's just received a big promotion at work, and has a wonderful marriage with his beautiful wife, Sharon. However, into this idyllic world steps Lisa, a temporary worker at Derek's office. Lisa begins to stalk Derek, jeopardizing all he holds dear.","['Drama', 'Thriller']"
Joy Ride 2: Dead Ahead,"While driving to Las Vegas for the bachelor party of her sister Melissa and her fiance Bobby, Kayla stops the car at a gas station to meet her date, Nik, a guy she met on the internet. Nik convinces her to take a secondary road under the protest of Bobby but the car breaks down. They find a house in the middle of nowhere and decide to take the car parked in the house's garage to the next city...","['Crime', 'Thriller', 'Horror']"
Beyond Sherwood Forest,"King Richard is away fighting the Crusade, his brother Prince John has been left in charge. In order to further international diplomatic relations with Norway, the beautiful young Maid Marian is to be married off to a prince. A cursed girl who can change into a ferocious dragon is used to find and pacify Robin Hood.","['Action', 'Adventure', 'Fantasy', 'TV Movie']"
Bandslam,A high school social outcast and the popular girl bond through a shared love of music.,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']"
Frequently Asked Questions About Time Travel,Follows three social outcasts -- two geeks and a cynic -- as they attempt to navigate a time-travel conundrum in the middle of a British pub. Faris plays a girl from the future who sets the adventure in motion.,"['Comedy', 'Drama', 'Romance', 'Science Fiction']"
The Boat That Rocked,"An ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate radio stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967. Also known as ""Pirate Radio"".","['Drama', 'Comedy']"
The Cove,"The Cove tells the amazing true story of how an elite team of individuals, films makers and free divers embarked on a covert mission to penetrate the hidden cove in Japan, shining light on a dark and deadly secret. The shocking discoveries were only the tip of the iceberg.",['Documentary']
Road of No Return,Road of no Return follows the final nine days in the lives of four atypical hit men who are secretly brought together in a covert operation to fight the drug trafficking epidemic in the country.,"['Action', 'Drama', 'Thriller']"
Not Forgotten,"Set in a Tex-Mex border town, Not Forgotten is a classic psychological thriller about Jack and Amaya Bishop, a couple who must come to terms with their tortured pasts in order to save their kidnapped daughter. It is a tale taut with intrigue and steeped in Latino mysticism, where the line between what's real and what's imagined becomes hopelessly blurred.","['Thriller', 'Horror']"
Cracks,Jealousy flares after the headmistress of an elite boarding school for girls becomes obsessed with a new student.,"['Drama', 'Mystery', 'Thriller']"
Gentlemen Broncos,A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,"['Comedy', 'Science Fiction', 'Drama']"
Green Lantern: First Flight,"Test pilot Hal Jordan finds himself recruited as the newest member of the intergalactic police force, The Green Lantern Corps.","['Action', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction', 'TV Movie']"
The Hole,"After moving into a new neighbourhood, brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed, evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life, they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE.","['Thriller', 'Adventure', 'Fantasy']"
Desert Flower,"The autobiography of a Somalian nomad who was sold in marriage at 13, fled from Africa a while later to become finally an American supermodel and is now at the age of 38, the UN spokeswoman against female genital mutilation.",['Drama']
The Disappearance of Alice Creed,A rich man's daughter is held captive in an abandoned apartment by two former convicts who abducted her and hold her ransom in exchange for her father's money.,"['Crime', 'Drama', 'Thriller']"
Year One,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.","['Comedy', 'Adventure']"
Grey Gardens,"Based on the life stories of the eccentric aunt and first cousin of Jackie Onassis raised as Park Avenue débutantes but who withdrew from New York society, taking shelter at their Long Island summer home, ""Grey Gardens."" As their wealth and contact with the outside world dwindled, so did their grasp on reality.","['History', 'Drama', 'TV Movie']"
Taking Chance,"Lt. Col. Michael Strobl, a volunteer military escort accompanies the body of Lance Cpl. Chance Phelps to his hometown in Wyoming.","['Drama', 'War', 'TV Movie']"
The Girlfriend Experience,"Chelsea is an in-demand call girl whose $2,000 an hour price tag allows her to live in New York's lap of luxury. Besides her beauty and sexual skill, Chelsea offers her clients companionship and conversation, or, as she dubs it, ""the girlfriend experience."" With her successful business and a devoted, live-in boyfriend, Chelsea thinks she has it made... until a new client rocks her world.",['Drama']
The Haunted World of El Superbeasto,"The Haunted World of El Superbeasto is an animated comedy that also combines elements of a horror and thriller film. It is based upon the comic book series created by Rob Zombie that follows the character of El Superbeasto and his sexy sidekick sister, Suzi-X, voiced by Sheri Moon, as they confront an evil villain by the name of Dr. Satan.","['Animation', 'Horror', 'Action', 'Comedy']"
My Life in Ruins,"A Greek tour guide named Georgia attempts to recapture her kefi (Greek for mojo) by guiding a ragtag group of tourists around Greece and showing them the beauty of her native land. Along the way, she manages to open their eyes to the wonders of an exotic foreign land while beginning to see the world through a new set of eyes in the process.","['Comedy', 'Romance']"
Deep in the Valley,"Best friends, Carl and Lester, find themselves magically transported into an alternate universe straight out of a real-life adult movie. Hilarity ensues as they embark upon a journey of adult-themed mayhem while Carl ultimately finds true love in the most unlikely of places.",['Comedy']
Merry Madagascar,"The Zoosters are back in an all-new holiday adventure. When Santa and his reindeer crash onto the island of Madagascar it's up to Alex, Marty, Gloria, Melman and those wacky penguins to save Christmas. Get ready for a sleigh full of laughs in this hilarious new holiday classic.","['Family', 'Animation']"
Hulk vs. Thor,"For ages, Odin has protected his kingdom of Asgard. But every winter, the All-Father must rest and regain his strength for one week. During this time, all of Asgard's foes (including trolls, giants, dark elves, and demons) try to claim the realm for their own, but they are always stopped by Odin's son, the mighty Thor, albeit with the loss of many brave Asgardian warriors. Loki, god of mischief, has kidnapped Dr. Bruce Banner and brought him to Asgard with the help of Amora, once Thor's lover, now the supervillain known as the Enchantress. Loki makes Banner angry and he changes into the Hulk. The Enchantress then casts a spell over the Hulk which separates Banner from his monstrous alter-ego and grants Loki control over the Hulk's body.","['Action', 'Animation', 'Fantasy', 'Science Fiction']"
Malibu Shark Attack,"An underwater earthquake generates a tsunami that strikes Malibu, bringing a hunting pack of prehistoric-looking goblin sharks to the surface. Although the beach is evacuated before the big wave strikes, a group of lifeguards and a crew of construction workers are stranded in the high water and have to fight the sharks to get to dry land.","['Horror', 'Action', 'TV Movie']"
Beautiful,"After another teenager disappears from the idyllic suburb of Sunshine Hills, Suzy, the girl-next-door of every boy's dreams, persuades Daniel, a fourteen-year-old with an obsessive crush, to help her uncover the truth.","['Drama', 'Mystery', 'Thriller']"
The Informant!,"A rising star at agri-industry giant Archer Daniels Midland (ADM), Mark Whitacre suddenly turns whistleblower. Even as he exposes his company’s multi-national price-fixing conspiracy to the FBI, Whitacre envisions himself being hailed as a hero of the common man and handed a promotion.","['Drama', 'Comedy', 'Crime']"
Screamers: The Hunting,"A group of humans arrive on Sirius 6-B to investigate an SOS signal sent out from the planet, which has been supposedly deserted since the destruction of the man-made weapons known as ""screamers."" Once the squad arrives, they find a group of human survivors eking out an existence in an old military outpost.","['Action', 'Horror', 'Science Fiction']"
Shadow,"A Young soldier returning from Iraq goes on a high mountain adventure in a desolate place in Europe to forget his past, he will lear truth in a mysterious local legend discovering that reality can be sicker than nightmares.","['Horror', 'Thriller']"
Still Waiting...,After Shenaniganz loses all its hottest waitresses to new competitor Ta-Ta's Wing Shack -- where the scantily clad wait staff earns bigger tips -- the Shenaniganz staff aims to give Ta-Ta's its just desserts.,"['Comedy', 'TV Movie']"
Looking for Eric,A man trying to put his life back on track gets some advice from an unexpected benefactor -- the ex-footballer Eric Cantona.,"['Drama', 'Comedy']"
Turtles Forever,"Turtles Forever is a made-for-tv animated movie. Produced in celebration of the 25th anniversary of the Teenage Mutant Ninja Turtles franchise, the movie teams up different incarnations of the titular heroes—chiefly the light-hearted, child-friendly characters from the 1987 animated series and the darker cast of the 4Kids' own 2003 animated series—in an adventure that spans multiple universes.","['Animation', 'Science Fiction', 'Adventure']"
American Virgin,"A Freshman College Girl on a scholarship from an abstinence group that advocates saving sex until marriage discovers that her antics on a night of debauchery, when she reluctantly got drunk for the first time in her life, were captured on camera by a sleazy video producer. Now she and her friends must travel across country to recover the incriminating footage.",['Comedy']
Miss March,A young man awakens from a four-year coma to hear that his once virginal high-school sweetheart has since become a centerfold in one of the world's most famous men's magazines. He and his sex-crazed best friend decide to take a cross-country road trip in order to crash a party at the magazine's legendary mansion headquarters and win back the girl.,"['Comedy', 'Romance']"
Garfield's Pet Force,"Nothing in the world can make Garfield get involved in anything besides eating, until the muscular super cat Garzooka comes crashing into Cartoon World from the Comic Book universe with terrifying news. Garfield summons up the willpower to join his superhero Garzooka in a fight to save their worlds.","['Animation', 'Comedy', 'Family']"
Bronson,"A young man who was sentenced to 7 years in prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.","['Drama', 'Action', 'Crime']"
The Stoning of Soraya M.,"In 1986 Iran, Sahebjam, whose car breaks down in a remote village, enters into a conversation with Zahra, who relays to him the story about her niece, Soraya, whose arranged marriage to an abusive tyrant ended in tragedy.","['Crime', 'Drama']"
"I Love You, Man","Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""","['Comedy', 'Romance']"
Powder Blue,"On the gritty streets of LA, the destinies of four people desperate for connection and redemption are about to collide.",['Drama']
Race to Witch Mountain,"A taxi driver gets more than he bargained for when he picks up two teen runaways. Not only does the pair possess supernatural powers, but they're also trying desperately to escape people who have made them their targets.","['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']"
Objectified,"A feature-length documentary about our complex relationship with manufactured objects and, by extension, the people who design them.",['Documentary']
An Education,"Despite her sheltered upbringing, Jenny is a teen with a bright future; she's smart, pretty, and has aspirations of attending Oxford University. When David, a charming but much older suitor, motors into her life in a shiny automobile, Jenny gets a taste of adult life that she won't soon forget.","['Drama', 'Romance']"
Wyvern,The residents of a small Alaskan town find themselves under attack by a flying reptile known in medieval mythology as a Wyvern. It has thawed from its ancient slumber by melting icecaps caused by global warming.,"['Fantasy', 'Science Fiction', 'TV Movie', 'Action', 'Adventure']"
Fame,"An updated version of the 1980 musical, which centered on the students of the New York Academy of Performing Arts.","['Music', 'Comedy', 'Drama', 'Romance']"
The Gruffalo,"The magical tale of a mouse who sets foot on a woodland adventure in search of a nut. Encountering predators who all wish to eat him - Fox, Owl and Snake - the brave mouse creates a terrifying, imaginary monster to frighten them away. But what will the mouse do when he meets this frightful monster for real?","['Animation', 'Family']"
Fast & Furious,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel.","['Action', 'Crime', 'Drama', 'Thriller']"
Motherhood,"In Manhattan, a mother of two preparing for her daughter's sixth birthday party has no idea of the challenges she's about to face in order to pull off the event.","['Comedy', 'Drama']"
Agora,"A historical drama set in Roman Egypt, concerning philosopher Hypatia of Alexandria and her relationship with her slave Davus, who is torn between his love for her and the possibility of gaining his freedom by joining the rising tide of Christianity.","['Adventure', 'Drama', 'History']"
Afro Samurai: Resurrection,Afro Samurai avenged his father and found a life of peace. But the legendary master is forced back into the game by a beautiful and deadly woman from his past. The sparks of violence dropped along Afro’s bloody path now burn out of control – and nowhere are the flames of hatred more intense than in the eyes of Sio.,"['Animation', 'Action']"
Jim Gaffigan: King Baby,"The greatly anticipated follow up to the platinum selling Beyond the Pale. In this Austin performance that capped off the 2008 sold-out stand up tour, Gaffigan does not let the audience catch their breath. This all-new show proves no other comedian working today can romanticize laziness and over-indulgence like Jim Gaffigan.",['Comedy']
"The Shark Is Still Working: The Impact & Legacy of ""Jaws""","After three decades, Jaws continues to intrigue, thrill and frighten viewers. This documentary focuses on the many ways in which Jaws has helped to shape popular culture.",['Documentary']
Amelia,"A look at the life of legendary American pilot Amelia Earhart, who disappeared while flying over the Pacific Ocean in 1937 in an attempt to make a flight around the world.","['Adventure', 'Drama', 'History']"
Bright Star,"In 1818, high-spirited young Fanny Brawne finds herself increasingly intrigued by the handsome but aloof poet John Keats, who lives next door to her family friends the Dilkes. After reading a book of his poetry, she finds herself even more drawn to the taciturn Keats. Although he agrees to teach her about poetry, Keats cannot act on his reciprocated feelings for Fanny, since as a struggling poet he has no money to support a wife.","['Drama', 'Romance']"
SpongeBob's Truth or Square,"It's the Krusty Krab's eleventy-seventh anniversary, and the nostalgia has SpongeBob, Squidward, Patrick, and Mr. Krabs looking back on key events in their lives. Right before the party begins, however, they all get locked in the freezer! With a hungry crowd and Plankton ready to steal the formula, they race through the air ducts to find a way out. Meanwhile, Patchy goes to Nickelodeon Studios to cast a star-studded 10th anniversary special. When the big event airs, however, he finds the guest of honor didn't show up...SpongeBob himself.","['Family', 'Animation', 'Comedy', 'TV Movie']"
Tetro,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",['Drama']
Battlestar Galactica: The Plan,"When the initial Cylon attack against the Twelve Colonies fails to achieve complete extermination of human life as planned, twin Number Ones (Cavils) embedded on Galactica and Caprica must improvise to destroy the human survivors.","['Science Fiction', 'Action', 'Drama']"
Did You Hear About the Morgans?,"New Yorkers Paul and Meryl Morgan seem to have it all -- except that their marriage is crumbling around them. But their romantic woes are small compared to the trouble they find themselves in after witnessing a murder. To protect them from an assassin, federal agents whisk away Paul and Meryl to a small town in Wyoming, where their marriage will crash and burn, or their passion will reignite.","['Comedy', 'Drama', 'Romance']"
Tanner Hall,A manipulative childhood acquaintance worms her way into a teenager's circle of friends at an all-girls boarding school.,['Drama']
Command Performance,"When the Russian Premier is taken hostage at a rock concert in Moscow, it's up to a drummer, an ex-biker, to save him.","['Action', 'Thriller']"
The Skeptic,"After the mysterious death of his Aunt, a confirmed skeptic lawyer, Bryan Becket, dismisses reports that her house is haunted and moves in. Immediately occurrences begin he cannot explain. And beyond the occurrences there is something about the house which gnaws at Becket - some strange connection he senses he has with the house's past. Soon, the haunting turns personal.","['Horror', 'Thriller']"
"The Powerpuff Girls: Who, What, Where, How, Why... Who Cares?","In honor of the 10th anniversary of the ""Powerpuff Girls"" series, the cast and crew reminisce about the cartoon's development and history.","['Documentary', 'Animation']"
Blood Creek,A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,"['Horror', 'Thriller']"
Blood: The Last Vampire,"On the surface, Saya is a stunning 16-year-old, but that youthful exterior hides the tormented soul of a 400-year-old ""halfling"". Born to a human father and a vampire mother, she has for centuries been a loner obsessed with using her samurai skills to rid the world of vampires, all the while knowing that she herself can survive only on blood like those she hunts.","['Action', 'Adventure', 'Horror', 'Science Fiction', 'Thriller']"
Bionicle: The Legend Reborn,"Once the ruler of an entire universe, the Great Spirit Mata Nui finds himself cast out of his own body, his spirit trapped inside the fabled Mask of Life, hurtling through space. After landing on the far-away planet of Bara Magna, the mask creates a new body for Mata Nui, who unwillingly gets caught up in the furious battles of the nearly barren and dangerous planet.","['Action', 'Adventure', 'Animation', 'Science Fiction', 'Fantasy']"
Lesbian Vampire Killers,"With their women having been enslaved by a pack of lesbian vampires, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice.","['Horror', 'Comedy']"
The Six Wives of Henry Lefay,A presumed-dead man's current wife and former wives squabble over his funeral arrangements.,['Comedy']
Cold Souls,"Paul is agonising over his interpretation of 'Uncle Vanya' and, paralysed by anxiety, stumbles upon a solution via a New Yorker article about a high-tech company promising to alleviate suffering by extracting souls. He enlists their services—only to discover that his soul is the shape and size of a chickpea.","['Comedy', 'Drama', 'Fantasy', 'Science Fiction']"
The Imaginarium of Doctor Parnassus,A travelling theatre company has more to it than meets the eye. It is an imaginary world commanded by the mind of Doctor Parnassus and the audience is in for more than just a show.,"['Adventure', 'Fantasy', 'Mystery']"
Brüno,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,['Comedy']
Damage,"An ex-con battles it out in the cage to pay for the operation that would save the daughter of his victim. Along the way he finds fatherly love, and friendship, in the most unlikely of places.","['Action', 'Thriller', 'Drama']"
Leaves of Grass,"An Ivy League professor returns home, where his pot-growing twin brother has concocted a plan to take down a local drug lord.","['Comedy', 'Crime', 'Thriller']"
Wonder Woman,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization.","['Action', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction']"
The Private Lives of Pippa Lee,"After her much older husband forces a move to a suburban retirement community, Pippa Lee engages in a period of reflection and finds herself heading toward a quiet nervous breakdown.","['Comedy', 'Drama', 'Romance']"
The September Issue,A documentary chronicling Vogue editor-in-chief Anna Wintour's preparations for the 2007 fall-fashion issue.,['Documentary']
Sorority Row,"When five sorority girls inadvertently cause the murder of one of their sisters in a prank gone wrong, they agree to keep the matter to themselves and never speak of it again, so they can get on with their lives. This proves easier said than done, when after graduation a mysterious killer goes after the five of them and anyone who knows their secret.","['Horror', 'Mystery']"
Goodbye Solo,A man planning to commit suicide hires a taxi driver to take him to his jumping-off point.,['Drama']
Sorority Wars,"Katie, a college freshman, has been groomed from birth to continue her mother’s legacy with the Deltas. When Katie decides to pledge another house instead, an all-out sorority war commences.","['Comedy', 'Drama', 'Family', 'TV Movie']"
I Knew It Was You: Rediscovering John Cazale,"John Cazale was in only five films – The Godfather, The Conversation, The Godfather: Part II, Dog Day Afternoon and The Deer Hunter – each was nominated for Best Picture. Yet today most people don't even know his name. I KNEW IT WAS YOU is a fresh tour through movies that defined a generation.",['Documentary']
Leningrad,"When in 1941 Nazi Germany invaded the Soviet Union, their troops quickly besieged Leningrad. Foreign journalists are evacuated but one of them, Kate Davies, is presumed dead and misses the plane. Alone in the city she is helped by Nina Tsvetnova a young and idealist police officer and together they will fight for their own survival and the survival of the people in the besieged Leningrad.","['War', 'Drama']"
The Shortcut,"When Derek moves to a new town and discovers a shortcut through the woods to his high school, he learns about a crazy old man who lives near its path: Legend has it that he abducted a group of teenagers years ago. Ignoring the warning, Derek and his friends set out to uncover the dark secret that's buried deep in the woods. But will they survive to tell it?","['Mystery', 'Horror', 'Thriller']"
Open Graves,"One day, Jason finds an unusual board game called Mamba. When his surfer friends start to play, the games unleashes its deadly curse, killing the losers in a gruesome fashion. Supposedly it will grant the winner a wish. As his companions die off, Jason decides that the only way he can reverse the tragedy is by continuing to play. With his girlfriend, Erica, Jason rolls the dice and hopes to make his wish before one of them suffers a horrible fate.","['Horror', 'Thriller']"
Tormented,"Darren Mullet, a bullied asthmatic, is driven to suicide by his tormented life - ignored by his parents, ridiculed by his teachers and bullied at school. He returns from the dead to pay his teenage tormentors a final visit.","['Horror', 'Comedy']"
The Seamstress,"The Seamstress was brought into being by the desperate curse of an innocent woman being tortured to death by a vigilante mob. Voracious for blood, the hideously-mutilated specter hunts a small group of friends who become trapped on the island where she died.","['Horror', 'Crime', 'Mystery', 'Thriller']"
The Young Victoria,"As the only legitimate heir of England's King William, teenage Victoria gets caught up in the political machinations of her own family. Victoria's mother wants her to sign a regency order, while her Belgian uncle schemes to arrange a marriage between the future monarch and Prince Albert, the man who will become the love of her life.","['Drama', 'History', 'Romance']"
The House of the Devil,"A young college student who’s struggling financially takes a strange babysitting job which coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger.","['Horror', 'Mystery']"
The Loved Ones,"When Brent turns down his classmate Lola's invitation to the prom, she concocts a wildly violent plan for revenge.",['Horror']
From Time to Time,"A haunting ghost story spanning two worlds, two centuries apart. When 13 year old Tolly finds he can mysteriously travel between the two, he begins an adventure that unlocks family secrets laid buried for generations.","['Adventure', 'Fantasy', 'Drama']"
Transmorphers: Fall of Man,"In this prequel to Transmorphers -- a sci-fi thriller that borrows heavily from the plot of Transformers -- planet Earth is in peril thanks to a rogue army of alien robots, and it's up to a small group of humans to mount a crippling counterattack. Can Sheriff Hadley Ryan (Bruce Boxleitner), a doctor (Jennifer Rubin) and an ex-Marine (Shane Van Dyke) find the automatons' Achilles' heel before they conquer the planet?","['Science Fiction', 'Action', 'Adventure']"
Goal III: Taking on the World,"Mexican footballer Santiago Muñez, along with his best friends and England national team players Charlie Braithwaite and Liam Adams, are selected for their respective national teams at the 2006 FIFA World Cup Finals in Germany.",['Drama']
This Is It,"A compilation of interviews, rehearsals and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.","['Music', 'Documentary']"
"Ed, Edd n Eddy's Big Picture Show","When a scam goes horribly wrong and leaves the neighborhood kids furious, the Eds embark on a journey to find Eddy's brother in the ""Ed, Edd, n Eddy"" series finale.","['Comedy', 'Animation', 'Adventure', 'TV Movie']"
In the Electric Mist,"Lt. Dave Robicheaux, a detective in New Iberia, Louisiana, is trying to link the murder of a local hooker to New Orleans mobster Julie (Baby Feet) Balboni, who is co-producer of a Civil War film. At the same time, after Elrod Sykes, the star of the film, reports finding another corpse in the Atchafalaya Swamp near the movie set, Robicheaux starts another investigation, believing the corpse to be the remains of a black man who he saw being murdered 35 years before.","['Thriller', 'Drama', 'Crime', 'Mystery']"
Don McKay,Everything appears off-kilter when a man returns to his hometown after 25 years to visit his former lover.,"['Crime', 'Mystery', 'Thriller']"
Observe and Report,"Mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is recruited to close the case.","['Comedy', 'Crime', 'Drama']"
The Bridge to Nowhere,"A group of 20-something blue-collar workers in Pittsburgh cook up a scheme to make extra money that involves prostitution. Their business takes off, then gets way out of hand.","['Crime', 'Drama']"
Nine,"Arrogant, self-centered movie director Guido Contini finds himself struggling to find meaning, purpose, and a script for his latest film endeavor. With only a week left before shooting begins, he desperately searches for answers and inspiration from his wife, his mistress, his muse, and his mother.","['Drama', 'Music', 'Romance']"
S. Darko,"Seven years after the events of the first film, Samantha Darko finds herself stranded in a small desert town after her car breaks down where she is plagued by bizarre visions telling of the universe's end. As a result, she must face her own demons, and in doing so, save the world and herself.","['Thriller', 'Crime', 'Science Fiction', 'Mystery']"
Pinocchio,The enchanted story of Pinocchio.,"['Adventure', 'Drama', 'Fantasy']"
Weather Girl,"Succumbing to the stresses of her personal and professional lives, Sylvia, a Seattle morning show weather forecaster, has a meltdown live on-air. Now, unemployed, lacking career prospects, and with a mess of a romantic life, she moves in with her little brother. She must learn how to cope with being 35-years-old and unfortunately famous for melting down on live television.","['Comedy', 'Romance']"
MegaFault,"When miner Charley 'Boomer' Baxter sets off a series of massive mining detonations in West Virginia, a gigantic earthquake is soon rocking the North Atlantic, exposing a deep seismic fault that runs the length of the North American continent. Joining forces with government seismology expert Dr Amy Lane, Boomer must now race against time to stop the chasm that is threatening to tear America - and the entire world - in half.","['TV Movie', 'Action', 'Adventure', 'Science Fiction']"
Mutant Pumpkins from Outer Space,"Susan Murphy (a.k.a. Ginormica) and the Monsters are now working with the US government as special ops. So when an alien presence is detected in Susan's hometown of Modesto, California -- right before Halloween -- the team is dispatched to investigate. Everything appears normal, right down to the jack-o-lanterns peering out from every doorstep and windowsill. But when Halloween arrives, those innocent-looking carved pumpkins reveal themselves for what they really are mutant aliens. The altered pumpkins then start to implement their fiendish plan to take over Earth. The Monsters are there to combat the mutant gourds and try to smash their wicked scheme!","['TV Movie', 'Animation', 'Family', 'Comedy']"
Skyrunners,"Tyler and his brother find an alien ship which makes Tyler appear older and gives him other abilities. This turns his high school life upside down, and may enable him to help his older brother's love life. After he is abducted by beings who intend to takeover Earth, he must depend on his inept and lovelorn brother to rescue him.","['Comedy', 'Science Fiction', 'TV Movie']"
